user_id,tech_field,programming_languages,region,availability,goals,experience
73,Mobile App,"Kotlin, Objective-C",Ahmedabad,Available for projects,"Build user-friendly mobile apps, Explore cross-platform development",9
74,Cybersecurity,"Nmap, Wireshark, Python",Chennai,Available for projects,"Conduct penetration testing, Protect systems from cyber threats",3
75,Data Science,"Python, SQL, SAS, Matlab, R",Chennai,Available for projects,Analyze and visualize data,9
76,Game Development,"Unity, Unreal Engine, JavaScript, C#",Jaipur,Full-time availability,"Design and code video games, Game engine expertise, Work on 2D and 3D game development",10
77,Cybersecurity,"Metasploit, Wireshark",Chandigarh,Part-time availability,"Conduct penetration testing, Protect systems from cyber threats, Enhance network security",1
78,Mobile App,"Swift, Kotlin, Java, Dart",Jaipur,Full-time availability,"Optimize app performance, Explore cross-platform development",2
79,Full Stack,"PHP, JavaScript, Python, Java",Bangalore,Available for projects,Optimize website performance,9
80,Mobile App,"Objective-C, Dart",Pune,Available for projects,Build user-friendly mobile apps,7
81,Data Science,"SAS, R, SQL, Matlab, Python",Bangalore,Available for projects,Apply statistical methods,7
82,Web3,"WebAssembly, Solidity, JavaScript, Rust, Go",Bangalore,Full-time availability,"Understand blockchain technology, Implement smart contracts, Create decentralized applications (DApps)",9
83,Cybersecurity,"Metasploit, Nmap",Chandigarh,Part-time availability,"Enhance network security, Protect systems from cyber threats",1
84,Web3,JavaScript,Ahmedabad,Part-time availability,"Create decentralized applications (DApps), Implement smart contracts, Understand blockchain technology",3
85,AI,"PyTorch, Java, R, TensorFlow, Python",Delhi,Part-time availability,Develop machine learning models,9
86,Blockchain,"Solidity, Go",Delhi,Available for projects,"Develop blockchain-based applications, Ensure security in decentralized systems, Explore cryptocurrency technologies",8
87,Game Development,"Unreal Engine, Unity",Hyderabad,Available for projects,"Game engine expertise, Work on 2D and 3D game development",3
88,Blockchain,"C++, Go, Java",Hyderabad,Full-time availability,"Develop blockchain-based applications, Ensure security in decentralized systems, Explore cryptocurrency technologies",5
89,Full Stack,Python,Jaipur,Part-time availability,Master both front-end and back-end development,8
90,Data Science,"R, SAS, Python",Chandigarh,Part-time availability,Predict trends and insights,6
91,IoT,"Raspberry Pi, C, Arduino",Kolkata,Full-time availability,"Connect devices to the internet, Develop IoT solutions, Ensure device security",5
92,Data Science,"SAS, Matlab",Pune,Available for projects,"Analyze and visualize data, Predict trends and insights, Apply statistical methods",3
93,UI/UX Design,"InVision, Adobe XD, Illustrator",Hyderabad,Full-time availability,"Create appealing user interfaces, Optimize user experiences",2
94,Blockchain,"Rust, Java, Go",Chandigarh,Part-time availability,"Ensure security in decentralized systems, Explore cryptocurrency technologies, Develop blockchain-based applications",2
95,Cybersecurity,"Wireshark, Python, Metasploit",Bangalore,Full-time availability,"Enhance network security, Protect systems from cyber threats",3
96,AI,"Java, R, TensorFlow, Python, PyTorch",Ahmedabad,Full-time availability,"Work on natural language processing projects, Contribute to AI research",10
97,UI/UX Design,"Adobe XD, Figma, Illustrator, InVision, Sketch",Jaipur,Part-time availability,Design for mobile and web platforms,6
98,UI/UX Design,"Sketch, Figma",Ahmedabad,Full-time availability,Create appealing user interfaces,8
99,Data Science,"R, SAS, SQL, Matlab, Python",Mumbai,Available for projects,Apply statistical methods,8
100,Full Stack,JavaScript,Chandigarh,Full-time availability,"Optimize website performance, Build responsive web applications",1
101,Data Science,"R, SQL, Matlab, SAS, Python",Jaipur,Available for projects,"Predict trends and insights, Apply statistical methods, Analyze and visualize data",3
102,Cybersecurity,"Nmap, Metasploit",Ahmedabad,Full-time availability,Conduct penetration testing,7
103,IoT,"Java, Python",Ahmedabad,Part-time availability,"Develop IoT solutions, Connect devices to the internet",3
104,Data Science,"Python, SAS, R, Matlab, SQL",Jaipur,Available for projects,"Analyze and visualize data, Predict trends and insights",2
105,Cybersecurity,Metasploit,Delhi,Full-time availability,Enhance network security,4
106,Blockchain,"Java, Rust, Go",Mumbai,Full-time availability,"Develop blockchain-based applications, Explore cryptocurrency technologies, Ensure security in decentralized systems",5
107,Data Science,"SQL, R, Python",Chandigarh,Full-time availability,"Apply statistical methods, Predict trends and insights",1
108,Data Science,"Matlab, Python",Chandigarh,Full-time availability,"Apply statistical methods, Predict trends and insights",3
109,IoT,"Arduino, Python, Raspberry Pi, Java",Bangalore,Part-time availability,"Connect devices to the internet, Develop IoT solutions, Ensure device security",7
110,UI/UX Design,"InVision, Illustrator, Figma, Adobe XD",Delhi,Full-time availability,"Optimize user experiences, Create appealing user interfaces",4
111,IoT,"Java, C, Python, Raspberry Pi",Delhi,Available for projects,Connect devices to the internet,5
112,AI,"TensorFlow, Java, R, Python",Bangalore,Part-time availability,"Work on natural language processing projects, Contribute to AI research, Develop machine learning models",9
113,UI/UX Design,"Figma, Adobe XD, InVision, Sketch",Hyderabad,Available for projects,"Create appealing user interfaces, Design for mobile and web platforms, Optimize user experiences",1
114,Mobile App,Java,Kolkata,Part-time availability,"Optimize app performance, Explore cross-platform development, Build user-friendly mobile apps",9
115,Blockchain,"C++, Rust, Java, Solidity",Pune,Full-time availability,"Explore cryptocurrency technologies, Ensure security in decentralized systems, Develop blockchain-based applications",8
116,Cybersecurity,Nmap,Ahmedabad,Full-time availability,"Enhance network security, Conduct penetration testing",6
117,Blockchain,"Solidity, Go, Rust, C++, Java",Delhi,Part-time availability,Explore cryptocurrency technologies,8
118,Full Stack,"PHP, Java, HTML/CSS",Bangalore,Full-time availability,Build responsive web applications,1
119,Game Development,"JavaScript, Unreal Engine, Unity",Chandigarh,Full-time availability,Game engine expertise,7
120,Data Science,"SQL, R, SAS, Python",Ahmedabad,Available for projects,"Analyze and visualize data, Predict trends and insights, Apply statistical methods",3
121,Web3,Go,Bangalore,Available for projects,"Create decentralized applications (DApps), Implement smart contracts, Understand blockchain technology",4
122,Cybersecurity,"Python, C, Wireshark",Chennai,Available for projects,"Enhance network security, Conduct penetration testing, Protect systems from cyber threats",2
123,Full Stack,Python,Delhi,Full-time availability,"Optimize website performance, Build responsive web applications",10
124,IoT,"Arduino, Java, Python",Delhi,Available for projects,"Connect devices to the internet, Develop IoT solutions",2
125,UI/UX Design,"Adobe XD, InVision, Sketch",Ahmedabad,Available for projects,Optimize user experiences,3
126,UI/UX Design,"Adobe XD, Sketch, InVision, Illustrator, Figma",Chandigarh,Part-time availability,"Design for mobile and web platforms, Create appealing user interfaces, Optimize user experiences",6
127,UI/UX Design,Adobe XD,Bangalore,Part-time availability,Design for mobile and web platforms,3
128,Game Development,C#,Kolkata,Available for projects,"Work on 2D and 3D game development, Design and code video games",6
129,Blockchain,"Java, Solidity, Go, Rust, C++",Chennai,Part-time availability,"Ensure security in decentralized systems, Develop blockchain-based applications",7
130,Web3,"JavaScript, WebAssembly, Rust, Go, Solidity",Delhi,Part-time availability,"Implement smart contracts, Understand blockchain technology",3
131,Game Development,"Unity, C++",Delhi,Part-time availability,"Work on 2D and 3D game development, Game engine expertise, Design and code video games",2
132,Web3,"Go, JavaScript",Ahmedabad,Full-time availability,Create decentralized applications (DApps),10
133,Full Stack,"JavaScript, Python, Java",Ahmedabad,Part-time availability,"Master both front-end and back-end development, Build responsive web applications",4
134,Cybersecurity,"Python, Metasploit, C, Nmap",Pune,Full-time availability,Protect systems from cyber threats,4
135,Web3,"Rust, JavaScript",Ahmedabad,Full-time availability,"Implement smart contracts, Create decentralized applications (DApps)",1
136,Game Development,C++,Ahmedabad,Full-time availability,"Game engine expertise, Design and code video games",3
137,Web3,"Rust, JavaScript",Mumbai,Part-time availability,"Create decentralized applications (DApps), Implement smart contracts, Understand blockchain technology",6
138,Cybersecurity,Python,Chennai,Full-time availability,"Protect systems from cyber threats, Enhance network security",3
139,UI/UX Design,InVision,Hyderabad,Full-time availability,Design for mobile and web platforms,9
140,UI/UX Design,"Illustrator, InVision",Jaipur,Available for projects,"Optimize user experiences, Design for mobile and web platforms, Create appealing user interfaces",10
141,Blockchain,Java,Kolkata,Part-time availability,"Explore cryptocurrency technologies, Ensure security in decentralized systems, Develop blockchain-based applications",1
142,AI,"TensorFlow, Python",Hyderabad,Full-time availability,"Develop machine learning models, Contribute to AI research, Work on natural language processing projects",10
143,AI,"Java, PyTorch",Pune,Full-time availability,"Develop machine learning models, Work on natural language processing projects, Contribute to AI research",1
144,Game Development,"C++, C#, Unity, Unreal Engine, JavaScript",Pune,Full-time availability,Design and code video games,9
145,Full Stack,"HTML/CSS, Python, PHP",Chennai,Available for projects,Master both front-end and back-end development,5
146,Cybersecurity,"Python, Wireshark, C, Metasploit, Nmap",Pune,Full-time availability,"Protect systems from cyber threats, Enhance network security",3
147,IoT,Java,Chennai,Full-time availability,"Develop IoT solutions, Ensure device security",3
148,Cybersecurity,"Python, C, Nmap, Wireshark",Chandigarh,Available for projects,"Enhance network security, Conduct penetration testing",9
149,Mobile App,Kotlin,Bangalore,Available for projects,"Explore cross-platform development, Build user-friendly mobile apps",1
150,Blockchain,"C++, Java, Rust, Solidity, Go",Pune,Full-time availability,Explore cryptocurrency technologies,6
151,Full Stack,HTML/CSS,Bangalore,Available for projects,Optimize website performance,2
152,Mobile App,"Kotlin, Objective-C, Swift, Java",Mumbai,Available for projects,Optimize app performance,9
153,Full Stack,"JavaScript, Java",Jaipur,Full-time availability,"Optimize website performance, Build responsive web applications, Master both front-end and back-end development",1
154,Mobile App,"Java, Objective-C",Mumbai,Part-time availability,"Optimize app performance, Build user-friendly mobile apps",9
155,Game Development,"Unity, C++, C#, Unreal Engine, JavaScript",Mumbai,Full-time availability,"Game engine expertise, Design and code video games, Work on 2D and 3D game development",7
156,Cybersecurity,"Metasploit, Python, C, Wireshark, Nmap",Pune,Part-time availability,"Conduct penetration testing, Protect systems from cyber threats, Enhance network security",2
157,IoT,"Raspberry Pi, C, Java, Arduino, Python",Ahmedabad,Full-time availability,"Ensure device security, Connect devices to the internet, Develop IoT solutions",5
158,Mobile App,"Swift, Java, Objective-C, Kotlin",Chandigarh,Full-time availability,"Explore cross-platform development, Build user-friendly mobile apps, Optimize app performance",7
159,Game Development,"Unity, JavaScript",Jaipur,Available for projects,"Work on 2D and 3D game development, Game engine expertise",1
160,Cybersecurity,"Wireshark, C, Nmap, Metasploit, Python",Ahmedabad,Available for projects,"Protect systems from cyber threats, Conduct penetration testing",8
161,AI,"Java, Python, TensorFlow, PyTorch",Delhi,Part-time availability,"Develop machine learning models, Contribute to AI research",8
162,IoT,"Python, Arduino, Raspberry Pi",Jaipur,Part-time availability,"Ensure device security, Connect devices to the internet",9
163,Web3,"JavaScript, Rust, Go, WebAssembly",Hyderabad,Part-time availability,"Implement smart contracts, Create decentralized applications (DApps), Understand blockchain technology",8
164,IoT,"C, Java, Raspberry Pi, Python, Arduino",Chandigarh,Full-time availability,"Connect devices to the internet, Ensure device security",3
165,Web3,JavaScript,Kolkata,Available for projects,"Create decentralized applications (DApps), Understand blockchain technology",10
166,Data Science,"Matlab, SAS, R, SQL",Chandigarh,Full-time availability,"Predict trends and insights, Analyze and visualize data, Apply statistical methods",9
167,AI,"Java, R, PyTorch, TensorFlow, Python",Kolkata,Full-time availability,"Develop machine learning models, Work on natural language processing projects, Contribute to AI research",3
168,Cybersecurity,"Python, Metasploit, Nmap, C, Wireshark",Kolkata,Full-time availability,Protect systems from cyber threats,4
169,AI,Java,Chandigarh,Part-time availability,Work on natural language processing projects,1
170,Web3,"JavaScript, Solidity",Mumbai,Part-time availability,"Implement smart contracts, Create decentralized applications (DApps), Understand blockchain technology",9
171,Mobile App,Kotlin,Mumbai,Available for projects,"Optimize app performance, Explore cross-platform development",3
172,UI/UX Design,Sketch,Chandigarh,Full-time availability,"Optimize user experiences, Design for mobile and web platforms",4
173,Game Development,"Unity, JavaScript, C++, C#",Delhi,Full-time availability,"Game engine expertise, Design and code video games",10
174,UI/UX Design,"Adobe XD, Sketch, Illustrator, Figma",Kolkata,Part-time availability,Design for mobile and web platforms,5
175,Data Science,"SQL, Matlab, Python",Pune,Full-time availability,"Analyze and visualize data, Predict trends and insights, Apply statistical methods",9
176,Mobile App,"Kotlin, Swift, Objective-C",Mumbai,Full-time availability,"Build user-friendly mobile apps, Optimize app performance, Explore cross-platform development",9
177,Mobile App,"Kotlin, Dart, Swift",Chennai,Available for projects,"Optimize app performance, Explore cross-platform development, Build user-friendly mobile apps",3
178,Blockchain,Rust,Ahmedabad,Available for projects,"Ensure security in decentralized systems, Develop blockchain-based applications, Explore cryptocurrency technologies",2
179,Web3,JavaScript,Delhi,Part-time availability,"Create decentralized applications (DApps), Understand blockchain technology",7
180,Web3,"Go, Rust, JavaScript",Delhi,Part-time availability,"Understand blockchain technology, Implement smart contracts",2
181,Full Stack,"Python, Java",Delhi,Full-time availability,"Master both front-end and back-end development, Optimize website performance, Build responsive web applications",3
182,Web3,"WebAssembly, Go, JavaScript, Rust, Solidity",Delhi,Available for projects,"Create decentralized applications (DApps), Understand blockchain technology, Implement smart contracts",1
183,Game Development,C++,Pune,Full-time availability,"Work on 2D and 3D game development, Design and code video games",4
184,UI/UX Design,"InVision, Adobe XD, Figma",Ahmedabad,Part-time availability,Design for mobile and web platforms,10
185,Game Development,"C#, Unity",Chandigarh,Part-time availability,"Design and code video games, Work on 2D and 3D game development, Game engine expertise",4
186,Web3,Go,Hyderabad,Full-time availability,"Implement smart contracts, Understand blockchain technology, Create decentralized applications (DApps)",6
187,AI,Java,Bangalore,Available for projects,"Develop machine learning models, Contribute to AI research",2
188,Data Science,SQL,Chandigarh,Available for projects,"Analyze and visualize data, Predict trends and insights, Apply statistical methods",3
189,Cybersecurity,"Metasploit, Wireshark, Python",Pune,Part-time availability,"Enhance network security, Conduct penetration testing, Protect systems from cyber threats",7
190,Blockchain,"Solidity, C++",Mumbai,Part-time availability,Ensure security in decentralized systems,10
191,Full Stack,"Python, JavaScript, Java, PHP",Ahmedabad,Available for projects,Build responsive web applications,1
192,Cybersecurity,Nmap,Jaipur,Available for projects,Protect systems from cyber threats,5
193,Web3,Solidity,Mumbai,Part-time availability,"Understand blockchain technology, Implement smart contracts, Create decentralized applications (DApps)",1
194,Game Development,"C#, JavaScript, C++",Chandigarh,Full-time availability,Game engine expertise,9
195,IoT,"Python, Raspberry Pi",Hyderabad,Part-time availability,Connect devices to the internet,9
196,UI/UX Design,"Sketch, InVision, Figma, Adobe XD",Kolkata,Available for projects,"Create appealing user interfaces, Design for mobile and web platforms",1
197,IoT,"Python, Arduino, Java",Mumbai,Full-time availability,"Connect devices to the internet, Develop IoT solutions, Ensure device security",10
198,IoT,"Raspberry Pi, C, Python, Java",Jaipur,Available for projects,"Develop IoT solutions, Connect devices to the internet, Ensure device security",10
199,Cybersecurity,C,Hyderabad,Full-time availability,Conduct penetration testing,5
200,Data Science,"Matlab, SQL",Pune,Available for projects,Predict trends and insights,10
201,Cybersecurity,"Python, Nmap, Metasploit, C",Ahmedabad,Full-time availability,"Enhance network security, Protect systems from cyber threats",1
202,Data Science,Matlab,Chandigarh,Full-time availability,Predict trends and insights,3
203,UI/UX Design,InVision,Ahmedabad,Full-time availability,"Create appealing user interfaces, Optimize user experiences",5
204,Web3,"Solidity, WebAssembly",Chandigarh,Part-time availability,"Create decentralized applications (DApps), Implement smart contracts",2
205,Mobile App,Kotlin,Kolkata,Full-time availability,"Explore cross-platform development, Build user-friendly mobile apps, Optimize app performance",7
206,Blockchain,"Java, Go",Kolkata,Full-time availability,Ensure security in decentralized systems,10
207,Mobile App,"Dart, Kotlin",Delhi,Full-time availability,"Explore cross-platform development, Optimize app performance",9
208,IoT,"C, Python",Mumbai,Available for projects,"Ensure device security, Connect devices to the internet, Develop IoT solutions",7
209,UI/UX Design,"Adobe XD, Figma, InVision",Chennai,Part-time availability,Design for mobile and web platforms,6
210,Game Development,"Unreal Engine, C++, C#, Unity, JavaScript",Bangalore,Available for projects,Design and code video games,8
211,Full Stack,"Java, HTML/CSS, PHP, Python",Chandigarh,Full-time availability,"Build responsive web applications, Optimize website performance",5
212,Blockchain,"Rust, Java, Solidity, Go, C++",Chandigarh,Full-time availability,Develop blockchain-based applications,7
213,Blockchain,Solidity,Kolkata,Full-time availability,"Develop blockchain-based applications, Explore cryptocurrency technologies",9
214,IoT,Arduino,Kolkata,Part-time availability,"Develop IoT solutions, Connect devices to the internet, Ensure device security",10
215,Blockchain,"Rust, Java, Go",Hyderabad,Full-time availability,"Explore cryptocurrency technologies, Develop blockchain-based applications, Ensure security in decentralized systems",10
216,UI/UX Design,"Figma, Adobe XD, Sketch, Illustrator",Kolkata,Full-time availability,"Create appealing user interfaces, Optimize user experiences",9
217,Web3,JavaScript,Chandigarh,Available for projects,Understand blockchain technology,10
218,Web3,"JavaScript, Go, WebAssembly, Rust, Solidity",Chennai,Part-time availability,Implement smart contracts,9
219,Mobile App,Kotlin,Kolkata,Available for projects,"Explore cross-platform development, Optimize app performance, Build user-friendly mobile apps",9
220,Blockchain,"C++, Solidity",Jaipur,Part-time availability,"Develop blockchain-based applications, Ensure security in decentralized systems, Explore cryptocurrency technologies",1
221,Cybersecurity,"Metasploit, Python",Chandigarh,Part-time availability,"Conduct penetration testing, Enhance network security, Protect systems from cyber threats",2
222,Web3,"Rust, WebAssembly, Go, Solidity",Mumbai,Full-time availability,"Understand blockchain technology, Implement smart contracts, Create decentralized applications (DApps)",5
223,Data Science,SQL,Mumbai,Part-time availability,"Predict trends and insights, Analyze and visualize data, Apply statistical methods",3
224,Data Science,SQL,Chandigarh,Available for projects,"Analyze and visualize data, Apply statistical methods, Predict trends and insights",5
225,Data Science,"R, SQL",Pune,Part-time availability,"Apply statistical methods, Analyze and visualize data",7
226,Data Science,Matlab,Chandigarh,Full-time availability,"Apply statistical methods, Analyze and visualize data, Predict trends and insights",8
227,AI,Java,Bangalore,Full-time availability,Work on natural language processing projects,5
228,Mobile App,"Objective-C, Swift, Java, Kotlin, Dart",Mumbai,Full-time availability,"Build user-friendly mobile apps, Optimize app performance",5
229,Web3,"JavaScript, Go, Rust",Chennai,Full-time availability,"Implement smart contracts, Create decentralized applications (DApps)",9
230,UI/UX Design,"Sketch, InVision, Figma, Adobe XD, Illustrator",Mumbai,Full-time availability,"Design for mobile and web platforms, Create appealing user interfaces",7
231,Cybersecurity,"Wireshark, Metasploit, C, Nmap, Python",Delhi,Available for projects,Conduct penetration testing,10
232,AI,"PyTorch, R, Python",Chandigarh,Available for projects,"Work on natural language processing projects, Contribute to AI research, Develop machine learning models",1
233,Cybersecurity,Metasploit,Chennai,Part-time availability,Enhance network security,10
234,AI,R,Bangalore,Part-time availability,Contribute to AI research,3
235,Full Stack,Java,Delhi,Part-time availability,"Build responsive web applications, Optimize website performance",8
236,Data Science,"SAS, Matlab",Kolkata,Available for projects,"Predict trends and insights, Analyze and visualize data",10
237,AI,PyTorch,Bangalore,Full-time availability,"Develop machine learning models, Work on natural language processing projects, Contribute to AI research",6
238,UI/UX Design,"Sketch, Adobe XD, InVision, Figma, Illustrator",Chennai,Part-time availability,"Create appealing user interfaces, Optimize user experiences, Design for mobile and web platforms",4
239,Mobile App,"Java, Dart",Kolkata,Part-time availability,Optimize app performance,2
240,AI,"Java, R, PyTorch, Python",Chennai,Part-time availability,"Contribute to AI research, Work on natural language processing projects",10
241,Mobile App,"Kotlin, Java, Objective-C",Delhi,Part-time availability,"Optimize app performance, Build user-friendly mobile apps, Explore cross-platform development",8
242,Web3,"Go, Solidity",Chandigarh,Part-time availability,Create decentralized applications (DApps),8
243,IoT,"Arduino, Raspberry Pi, C, Java, Python",Bangalore,Available for projects,"Develop IoT solutions, Ensure device security, Connect devices to the internet",6
244,Game Development,"C#, Unity, C++",Pune,Full-time availability,Design and code video games,6
245,AI,"R, PyTorch, TensorFlow, Python, Java",Jaipur,Part-time availability,Contribute to AI research,10
